,Dataset,Model,African_FMR,African_FNMR,Asian_FMR,Asian_FNMR,Caucasian_FMR,Caucasian_FNMR,Indian_FMR,Indian_FNMR,MAD FNMR,MAD FMR
0,RFW,Balanced34,0.08466666666666667,0.06566666666666666,0.030333333333333334,0.11633333333333333,0.017,0.07933333333333334,0.06333333333333334,0.064,0.021333333333333336,0.0295
1,RFW,Global34,0.03666666666666667,0.094,0.04133333333333333,0.09,0.0023333333333333335,0.10633333333333334,0.02266666666666667,0.07866666666666666,0.010875000000000003,0.016375
2,RFW,Balanced50,0.06833333333333333,0.062,0.022,0.11533333333333333,0.011333333333333334,0.07366666666666667,0.04466666666666667,0.06566666666666666,0.020999999999999998,0.02420833333333333
3,RFW,Global50,0.047,0.07333333333333333,0.041666666666666664,0.071,0.0033333333333333335,0.08133333333333333,0.024666666666666667,0.06833333333333333,0.005166666666666667,0.0185
4,RFW0_RFW1,Balanced34,0.16466666666666666,0.31833333333333336,0.10133333333333333,0.32566666666666666,0.06,0.31433333333333335,0.17233333333333334,0.25033333333333335,0.02874999999999999,0.050041666666666665
5,RFW0_RFW1,Global34,0.12366666666666666,0.335,0.141,0.2753333333333333,0.03233333333333333,0.338,0.12633333333333333,0.26666666666666666,0.03420833333333335,0.041083333333333326
6,RFW0_RFW1,Balanced50,0.131,0.334,0.062,0.35033333333333333,0.043666666666666666,0.332,0.13133333333333333,0.25766666666666665,0.035,0.0415
7,RFW0_RFW1,Global50,0.11466666666666667,0.31066666666666665,0.121,0.27,0.027,0.31766666666666665,0.10433333333333333,0.25533333333333336,0.028458333333333315,0.036541666666666674
8,RFW0_RFW4,Balanced34,0.17833333333333334,0.37666666666666665,0.14833333333333334,0.342,0.08966666666666667,0.38066666666666665,0.20466666666666666,0.2996666666666667,0.03470833333333331,0.046875
9,RFW0_RFW4,Global34,0.16166666666666665,0.382,0.204,0.298,0.059666666666666666,0.38233333333333336,0.166,0.31166666666666665,0.040416666666666684,0.05466666666666667
10,RFW0_RFW4,Balanced50,0.18833333333333332,0.36733333333333335,0.132,0.33566666666666667,0.08866666666666667,0.35,0.20533333333333334,0.271,0.03791666666666666,0.05079166666666667
11,RFW0_RFW4,Global50,0.12,0.396,0.13566666666666666,0.339,0.03866666666666667,0.4003333333333333,0.11266666666666666,0.338,0.030499999999999985,0.03729166666666666
